"id";"tipo";"sector";"territorio";"nombre_canonico";"query_1";"vol_q1";"query_2";"vol_q2";"query_3";"vol_q3";"vol_total";"tengo_landing";"peso_tipo";"score";"notas"
"259";"sectorial-provincial";"transporte-mercancias";"Ceuta";"Convenio Transporte de Mercancías por Carretera Ceuta";"convenio transporte de mercancías por carretera ceuta";"0";"convenio transporte de mercancías por carretera ceuta 2026";"0";"tabla salarial transporte de mercancías por carretera ceuta";"0";"0";"no";"1";"0";""
"208";"sectorial-provincial";"construccion";"Melilla";"Convenio Construcción Melilla";"convenio construcción melilla";"0";"convenio construcción melilla 2026";"0";"tabla salarial construcción melilla";"0";"0";"no";"1";"0";""
"320";"sectorial-provincial";"quimica";"Alicante";"Convenio Industria Química Alicante";"convenio industria química alicante";"0";"convenio industria química alicante 2026";"0";"tabla salarial industria química alicante";"0";"0";"no";"1";"0";""
"207";"sectorial-provincial";"construccion";"Ceuta";"Convenio Construcción Ceuta";"convenio construcción ceuta";"0";"convenio construcción ceuta 2026";"0";"tabla salarial construcción ceuta";"0";"0";"no";"1";"0";""
"184";"sectorial-provincial";"construccion";"Lleida";"Convenio Construcción Lleida";"convenio construcción lleida";"0";"convenio construcción lleida 2026";"0";"tabla salarial construcción lleida";"0";"0";"no";"1";"0";""
"323";"sectorial-provincial";"panaderia";"Valencia";"Convenio Panadería Valencia";"convenio panadería valencia";"0";"convenio panadería valencia 2026";"0";"tabla salarial panadería valencia";"0";"0";"no";"1";"0";""
"319";"sectorial-provincial";"quimica";"Murcia";"Convenio Industria Química Murcia";"convenio industria química murcia";"0";"convenio industria química murcia 2026";"0";"tabla salarial industria química murcia";"0";"0";"no";"1";"0";""
"315";"sectorial-provincial";"quimica";"Las Palmas";"Convenio Industria Química Las Palmas";"convenio industria química las palmas";"0";"convenio industria química las palmas 2026";"0";"tabla salarial industria química las palmas";"0";"0";"no";"1";"0";""
"314";"sectorial-provincial";"quimica";"Granada";"Convenio Industria Química Granada";"convenio industria química granada";"0";"convenio industria química granada 2026";"0";"tabla salarial industria química granada";"0";"0";"no";"1";"0";""
"316";"sectorial-provincial";"quimica";"Tenerife";"Convenio Industria Química Tenerife";"convenio industria química tenerife";"0";"convenio industria química tenerife 2026";"0";"tabla salarial industria química tenerife";"0";"0";"no";"1";"0";""
"318";"sectorial-provincial";"quimica";"Navarra";"Convenio Industria Química Navarra";"convenio industria química navarra";"0";"convenio industria química navarra 2026";"0";"tabla salarial industria química navarra";"0";"0";"no";"1";"0";""
"317";"sectorial-provincial";"quimica";"Baleares";"Convenio Industria Química Baleares";"convenio industria química baleares";"0";"convenio industria química baleares 2026";"0";"tabla salarial industria química baleares";"0";"0";"no";"1";"0";""
"332";"sectorial-provincial";"panaderia";"Cádiz";"Convenio Panadería Cádiz";"convenio panadería cádiz";"0";"convenio panadería cádiz 2026";"0";"tabla salarial panadería cádiz";"0";"0";"no";"1";"0";""
"331";"sectorial-provincial";"panaderia";"Tarragona";"Convenio Panadería Tarragona";"convenio panadería tarragona";"0";"convenio panadería tarragona 2026";"0";"tabla salarial panadería tarragona";"0";"0";"no";"1";"0";""
"177";"sectorial-provincial";"construccion";"Girona";"Convenio Construcción Girona";"convenio construcción girona";"0";"convenio construcción girona 2026";"0";"tabla salarial construcción girona";"0";"0";"no";"1";"0";""
"335";"sectorial-provincial";"panaderia";"Las Palmas";"Convenio Panadería Las Palmas";"convenio panadería las palmas";"0";"convenio panadería las palmas 2026";"0";"tabla salarial panadería las palmas";"0";"0";"no";"1";"0";""
"334";"sectorial-provincial";"panaderia";"Granada";"Convenio Panadería Granada";"convenio panadería granada";"0";"convenio panadería granada 2026";"0";"tabla salarial panadería granada";"0";"0";"no";"1";"0";""
"330";"sectorial-provincial";"panaderia";"A Coruña";"Convenio Panadería A Coruña";"convenio panadería a coruña";"0";"convenio panadería a coruña 2026";"0";"tabla salarial panadería a coruña";"0";"0";"no";"1";"0";""
"326";"sectorial-provincial";"panaderia";"Álava";"Convenio Panadería Álava";"convenio panadería álava";"0";"convenio panadería álava 2026";"0";"tabla salarial panadería álava";"0";"0";"no";"1";"0";""
"325";"sectorial-provincial";"panaderia";"Gipuzkoa";"Convenio Panadería Gipuzkoa";"convenio panadería gipuzkoa";"0";"convenio panadería gipuzkoa 2026";"0";"tabla salarial panadería gipuzkoa";"0";"0";"no";"1";"0";""
"327";"sectorial-provincial";"panaderia";"Sevilla";"Convenio Panadería Sevilla";"convenio panadería sevilla";"0";"convenio panadería sevilla 2026";"0";"tabla salarial panadería sevilla";"0";"0";"no";"1";"0";""
"329";"sectorial-provincial";"panaderia";"Asturias";"Convenio Panadería Asturias";"convenio panadería asturias";"0";"convenio panadería asturias 2026";"0";"tabla salarial panadería asturias";"0";"0";"no";"1";"0";""
"328";"sectorial-provincial";"panaderia";"Zaragoza";"Convenio Panadería Zaragoza";"convenio panadería zaragoza";"0";"convenio panadería zaragoza 2026";"0";"tabla salarial panadería zaragoza";"0";"0";"no";"1";"0";""
"313";"sectorial-provincial";"quimica";"Málaga";"Convenio Industria Química Málaga";"convenio industria química málaga";"0";"convenio industria química málaga 2026";"0";"tabla salarial industria química málaga";"0";"0";"no";"1";"0";""
"215";"sectorial-provincial";"transporte-mercancias";"Badajoz";"Convenio Transporte de Mercancías por Carretera Badajoz";"convenio transporte de mercancías por carretera badajoz";"0";"convenio transporte de mercancías por carretera badajoz 2026";"0";"tabla salarial transporte de mercancías por carretera badajoz";"0";"0";"no";"1";"0";""
"216";"sectorial-provincial";"transporte-mercancias";"Baleares";"Convenio Transporte de Mercancías por Carretera Baleares";"convenio transporte de mercancías por carretera baleares";"0";"convenio transporte de mercancías por carretera baleares 2026";"0";"tabla salarial transporte de mercancías por carretera baleares";"0";"0";"no";"1";"0";""
"214";"sectorial-provincial";"transporte-mercancias";"Ávila";"Convenio Transporte de Mercancías por Carretera Ávila";"convenio transporte de mercancías por carretera ávila";"0";"convenio transporte de mercancías por carretera ávila 2026";"0";"tabla salarial transporte de mercancías por carretera ávila";"0";"0";"no";"1";"0";""
"301";"sectorial-provincial";"quimica";"Madrid";"Convenio Industria Química Madrid";"convenio industria química madrid";"0";"convenio industria química madrid 2026";"0";"tabla salarial industria química madrid";"0";"0";"no";"1";"0";""
"211";"sectorial-provincial";"transporte-mercancias";"Alicante";"Convenio Transporte de Mercancías por Carretera Alicante";"convenio transporte de mercancías por carretera alicante";"0";"convenio transporte de mercancías por carretera alicante 2026";"0";"tabla salarial transporte de mercancías por carretera alicante";"0";"0";"no";"1";"0";""
"217";"sectorial-provincial";"transporte-mercancias";"Barcelona";"Convenio Transporte de Mercancías por Carretera Barcelona";"convenio transporte de mercancías por carretera barcelona";"0";"convenio transporte de mercancías por carretera barcelona 2026";"0";"tabla salarial transporte de mercancías por carretera barcelona";"0";"0";"no";"1";"0";""
"220";"sectorial-provincial";"transporte-mercancias";"Cáceres";"Convenio Transporte de Mercancías por Carretera Cáceres";"convenio transporte de mercancías por carretera cáceres";"0";"convenio transporte de mercancías por carretera cáceres 2026";"0";"tabla salarial transporte de mercancías por carretera cáceres";"0";"0";"no";"1";"0";""
"221";"sectorial-provincial";"transporte-mercancias";"Cádiz";"Convenio Transporte de Mercancías por Carretera Cádiz";"convenio transporte de mercancías por carretera cádiz";"0";"convenio transporte de mercancías por carretera cádiz 2026";"0";"tabla salarial transporte de mercancías por carretera cádiz";"0";"0";"no";"1";"0";""
